Wall time,Step,A2C_reward
1718052366,9580000,432.741394
1718052370,9600000,419.5901184
1718052374,9620000,416.202301
1718052378,9640000,446.7680969
1718052382,9660000,438.4182129
1718052386,9680000,406.0107117
1718052390,9700000,385.6531677
1718052394,9720000,448.7468262
1718052398,9740000,432.5870361
1718052402,9760000,388.0446472
1718052406,9780000,407.8880615
1718052410,9800000,417.8210449
1718052413,9820000,433.6596985
1718052417,9840000,420.1167297
1718052421,9860000,421.6975403
1718052424,9880000,463.7383728
1718052428,9900000,503.0675354
1718052432,9920000,467.9910278
1718052435,9940000,459.9970398
1718052439,9960000,457.1063538
1718052443,9980000,444.8905029
1718052447,10000000,469.5789795
